Round,Home,Away,HS,AS,Venue,Date
15,Warrington Wolves,Leeds Rhinos,6,34,Halliwell Jones Stadium,"18 June 2026, 20:00"
15,Hull F.C.,Wakefield Trinity,10,36,MKM Stadium,"19 June 2026, 20:00"
15,Hull KR,Leigh Leopards,22,8,"Craven Park, Hull",
15,York Knights,Wigan Warriors,20,72,York Community Stadium,"20 June 2026, 15:00"
15,Catalans Dragons,Bradford Bulls,34,24,Stade Gilbert Brutus,"20 June 2026, 18:00"
15,Castleford Tigers,Toulouse Olympique,36,18,OneBore Stadium,"20 June 2026, 20:00"
15,St Helens R.F.C.,Huddersfield Giants,38,6,BrewDog Stadium,"21 June 2026, 15:00"
16,Warrington Wolves,Catalans Dragons,18,16,Halliwell Jones Stadium,"25 June 2026, 20:00"
16,Leeds Rhinos,Hull KR,34,8,Headingley Rugby Stadium,"26 June 2026, 20:00"
16,Castleford Tigers,York Knights,14,20,OneBore Stadium,
16,Hull F.C.,Wigan Warriors,16,20,MKM Stadium,"27 June 2026, 15:00"
16,Toulouse Olympique,Leigh Leopards,16,40,Stade Ernest Wallon,"27 June 2026, 17:00"
16,Bradford Bulls,St Helens R.F.C.,10,40,Odsal Stadium,"27 June 2026, 20:00"
16,Wakefield Trinity,Huddersfield Giants,29,23,DIY Kitchens Stadium,"28 June 2026, 15:00"
17,Huddersfield Giants,York Knights,24,36,Hill Dickinson Stadium,"4 July 2026, 12:30"
17,Hull KR,Hull F.C.,26,12,,"4 July 2026, 15:00"
17,Leigh Leopards,Warrington Wolves,24,6,,"4 July 2026, 17:30"
17,Catalans Dragons,Toulouse Olympique,18,60,Stade Pierre-Fabre,"4 July 2026, 20:00"
17,Wakefield Trinity,Castleford Tigers,48,6,Hill Dickinson Stadium,"5 July 2026, 12:30"
17,Leeds Rhinos,Bradford Bulls,50,16,,"5 July 2026, 15:00"
17,Wigan Warriors,St Helens R.F.C.,16,14,Chris Kendall,"5 July 2026, 17:30"
